case,abc,ric3_baseline,ric3_dynamic,ric3_adaptive,ric3_reverse_topo,ric3_reverse_topo_inn,ric3_flip_high,ric3_dynamic_reverse_topo,ric3_multi_mic,ric3_mab,baseline_speedup,dynamic_speedup,dynamic_vs_baseline_ratio,adaptive_vs_baseline_ratio,adaptive_vs_dynamic_ratio,reverse_vs_baseline_ratio,reverse_topo_inn_vs_baseline_ratio,reverse_vs_dynamic_ratio,reverse_topo_inn_vs_dynamic_ratio,flip_vs_baseline_ratio,dynamic_reverse_topo_vs_baseline_ratio,dynamic_reverse_topo_vs_dynamic_ratio,multi_mic_vs_baseline_ratio,multi_mic_vs_dynamic_ratio
6s194,3600.0,3.18,1178.5,2.53,3600.0,3600.0,3600.0,4.76,30.76,9.96,0.0008833333333333334,0.3273611111111111,0.002698345354263895,1.256916996047431,465.81027667984193,0.0008833333333333334,0.0008833333333333334,0.3273611111111111,0.3273611111111111,0.0008833333333333334,0.6680672268907564,247.5840336134454,0.1033810143042913,38.312743823146945
picorv32_mutBX_nomem-p0,3600.0,3600.0,419.74,3600.0,3600.0,3600.0,3600.0,600.04,0.5,1255.61,1.0,0.11659444444444444,8.576737980654691,1.0,0.11659444444444444,1.0,1.0,0.11659444444444444,0.11659444444444444,1.0,5.999600026664889,0.6995200319978668,7200.0,839.48
oc8051gm64pc,3600.0,2822.59,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,5.11,3600.0,0.7840527777777778,1.0,0.7840527777777778,0.7840527777777778,1.0,0.7840527777777778,0.7840527777777778,1.0,1.0,0.7840527777777778,0.7840527777777778,1.0,552.3659491193738,704.5009784735812
6s198,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.01,1362.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360000.0,360000.0
6s364rb12666,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,61.41,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58.62237420615535,58.62237420615535
qspiflash_dualflexpress_divfive-p074,0.01,3.09,3.01,3.19,4.62,4.8,2.04,3.37,0.2,4.59,309.0,301.0,1.026578073089701,0.9686520376175548,0.9435736677115987,0.6688311688311688,0.64375,0.6515151515151515,0.6270833333333333,1.5147058823529411,0.916913946587537,0.8931750741839761,15.45,15.049999999999999
pdtvistwoall3,0.0,0.01,0.02,0.02,0.01,0.0,0.01,0.01,0.01,0.01,inf,inf,0.5,0.5,1.0,1.0,inf,2.0,inf,1.0,1.0,2.0,1.0,2.0
6s120,0.0,0.73,0.73,0.9,0.7,0.65,0.41,0.71,0.44,0.53,inf,inf,1.0,0.8111111111111111,0.8111111111111111,1.042857142857143,1.123076923076923,1.042857142857143,1.123076923076923,1.7804878048780488,1.028169014084507,1.028169014084507,1.659090909090909,1.659090909090909
cal95,3.01,48.47,59.79,62.74,64.66,29.5,51.55,66.56,32.92,60.37,16.102990033222593,19.863787375415285,0.8106706807158388,0.7725533949633407,0.9529805546700669,0.7496133622022889,1.643050847457627,0.9246829570058769,2.026779661016949,0.9402521823472357,0.7282151442307692,0.8982872596153846,1.4723572296476306,1.816221142162819
pdtvissoap1,0.01,0.33,0.32,0.29,0.22,13.18,0.21,0.22,0.24,0.21,33.0,32.0,1.03125,1.1379310344827587,1.1034482758620692,1.5,0.025037936267071324,1.4545454545454546,0.024279210925644917,1.5714285714285716,1.5,1.4545454545454546,1.3750000000000002,1.3333333333333335
pdtvisgoodbakery2,0.02,0.1,0.1,0.16,0.13,2.37,0.14,0.13,0.01,0.17,5.0,5.0,1.0,0.625,0.625,0.7692307692307693,0.04219409282700422,0.7692307692307693,0.04219409282700422,0.7142857142857143,0.7692307692307693,0.7692307692307693,10.0,10.0
139454p23,0.24,2.86,3.24,2.15,2.63,32.53,3.13,2.93,2.83,1.69,11.916666666666666,13.500000000000002,0.882716049382716,1.330232558139535,1.5069767441860467,1.0874524714828897,0.08791884414386719,1.231939163498099,0.09960036889025516,0.9137380191693291,0.9761092150170647,1.10580204778157,1.0106007067137808,1.1448763250883394
6s380b511,0.05,0.3,0.32,1.03,0.36,0.12,2.3,0.36,0.05,0.29,5.999999999999999,6.3999999999999995,0.9375,0.2912621359223301,0.3106796116504854,0.8333333333333334,2.5,0.888888888888889,2.666666666666667,0.13043478260869565,0.8333333333333334,0.888888888888889,5.999999999999999,6.3999999999999995
beemprdcell2f1,0.0,60.15,60.26,44.52,331.92,7.33,5.39,341.11,0.04,10.98,inf,inf,0.9981745768337206,1.351078167115903,1.3535489667565137,0.18121836587129428,8.20600272851296,0.18154977102916364,8.221009549795362,11.159554730983302,0.1763360792706165,0.17665855589106153,1503.75,1506.5
bob12s10,0.01,240.07,239.76,305.82,301.11,3600.0,336.54,310.54,0.12,144.71,24007.0,23976.0,1.001292959626293,0.7850042508665228,0.7839905826957033,0.797283384809538,0.06668611111111111,0.7962538607153531,0.06659999999999999,0.7133475961252748,0.7730727120499774,0.7720744509563985,2000.5833333333333,1998.0
intel036,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,141.48,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.445292620865143,25.445292620865143
cal179,0.0,0.05,0.05,0.04,0.03,0.05,0.08,0.03,0.01,0.03,inf,inf,1.0,1.25,1.25,1.6666666666666667,1.0,1.6666666666666667,1.0,0.625,1.6666666666666667,1.6666666666666667,5.0,5.0
nusmvguidancep5,0.0,0.72,0.72,0.76,0.5,0.47,1.57,0.5,0.15,0.84,inf,inf,1.0,0.9473684210526315,0.9473684210526315,1.44,1.5319148936170213,1.44,1.5319148936170213,0.45859872611464964,1.44,1.44,4.8,4.8
nusmvreactorp6,0.0,9.7,10.02,12.98,11.73,23.6,11.19,11.65,0.31,10.59,inf,inf,0.968063872255489,0.7473035439137133,0.7719568567026194,0.8269394714407501,0.41101694915254233,0.8542199488491048,0.42457627118644065,0.8668453976764968,0.8326180257510729,0.8600858369098712,31.29032258064516,32.32258064516129
oc8051gm6dpc,3600.0,1042.46,722.49,864.09,1365.09,3600.0,2847.24,971.23,1.35,1942.12,0.28957222222222223,0.20069166666666666,1.44287118160805,1.2064252566283604,0.8361281810922473,0.7636566087217693,0.28957222222222223,0.5292618069138298,0.20069166666666666,0.36613000660288564,1.0733399915570978,0.7438917661110138,772.1925925925925,535.1777777777778
pdtpmsmiim,0.0,0.22,0.21,0.15,0.18,0.1,0.22,0.11,0.06,0.19,inf,inf,1.0476190476190477,1.4666666666666668,1.4,1.2222222222222223,2.1999999999999997,1.1666666666666667,2.0999999999999996,1.0,2.0,1.909090909090909,3.666666666666667,3.5
dme5ptimonegnv,0.01,0.03,0.04,0.05,0.03,0.08,0.03,0.03,0.03,0.03,3.0,4.0,0.75,0.6,0.7999999999999999,1.0,0.375,1.3333333333333335,0.5,1.0,1.0,1.3333333333333335,1.0,1.3333333333333335
oc8051gm3dpc,3600.0,2105.25,1241.17,693.79,3600.0,3600.0,2875.92,3600.0,1.02,1329.05,0.5847916666666667,0.34476944444444446,1.6961818284360723,3.0344196370659713,1.788970726012194,0.5847916666666667,0.5847916666666667,0.34476944444444446,0.34476944444444446,0.7320266210464825,0.5847916666666667,0.34476944444444446,2063.970588235294,1216.8333333333335
6s405rb611,0.15,4.86,4.98,6.33,5.31,0.39,5.21,5.1,4.75,8.13,32.400000000000006,33.2,0.9759036144578314,0.7677725118483413,0.7867298578199052,0.9152542372881357,12.461538461538462,0.9378531073446329,12.76923076923077,0.9328214971209213,0.9529411764705884,0.9764705882352943,1.0231578947368423,1.0484210526315791
texasparsesysp1,0.02,0.0,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.5,0.0,0.0,0.125,,,inf,inf,,,inf,,inf
6s320rb0,3600.0,846.81,1114.3,337.1,803.49,2146.77,553.94,780.09,997.42,247.59,0.235225,0.3095277777777778,0.7599479493852642,2.5120439038860867,3.3055473153366948,1.0539147966993987,0.3944577202029095,1.3868249760420166,0.51905886517885,1.5287034696898578,1.0855285928546705,1.4284249253291286,0.849000421086403,1.1171823304124642
6s206rb103,0.1,0.6,0.79,2.17,0.59,0.46,0.6,0.58,0.61,0.4,5.999999999999999,7.9,0.7594936708860759,0.2764976958525346,0.36405529953917054,1.0169491525423728,1.3043478260869563,1.3389830508474578,1.7173913043478262,1.0,1.0344827586206897,1.3620689655172415,0.9836065573770492,1.2950819672131149
atxfifo-p11,3600.0,3600.0,372.09,2461.46,1053.89,358.38,165.06,626.59,0.01,3600.0,1.0,0.10335833333333333,9.675078610013706,1.4625466186734701,0.15116638092839207,3.415916272096708,10.045203415369162,0.3530634126901289,1.0382554830068642,21.810250817884405,5.745383743755885,0.5938332881150353,360000.0,37209.0
shift1add256,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.01,0.06,inf,inf,1.0,1.0,1.0,1.0,inf,1.0,inf,1.0,1.0,1.0,3.0,3.0
mentorbm1p04,0.08,0.17,0.17,0.42,0.19,0.05,0.18,0.19,0.16,0.15,2.125,2.125,1.0,0.4047619047619048,0.4047619047619048,0.8947368421052632,3.4,0.8947368421052632,3.4,0.9444444444444445,0.8947368421052632,0.8947368421052632,1.0625,1.0625
6s349rb12,0.08,2.29,2.1,2.46,1.78,1.42,1.59,2.42,1.85,2.85,28.625,26.25,1.0904761904761904,0.9308943089430894,0.853658536585366,1.2865168539325842,1.6126760563380282,1.1797752808988764,1.4788732394366197,1.440251572327044,0.9462809917355373,0.8677685950413224,1.2378378378378379,1.135135135135135
picorv32_mutBY_nomem-p3,3600.0,3600.0,1148.6,3600.0,3600.0,3600.0,3600.0,712.54,1.69,2494.91,1.0,0.31905555555555554,3.134250391781299,1.0,0.31905555555555554,1.0,1.0,0.31905555555555554,0.31905555555555554,1.0,5.052347938361355,1.6119796783338478,2130.1775147928993,679.6449704142011
oski15a01b27s,0.67,1.02,1.14,4.13,1.04,0.65,0.99,1.06,1.05,1.06,1.5223880597014925,1.7014925373134326,0.8947368421052633,0.24697336561743344,0.27602905569007263,0.9807692307692307,1.5692307692307692,1.096153846153846,1.7538461538461536,1.0303030303030303,0.9622641509433962,1.0754716981132073,0.9714285714285714,1.0857142857142856
qspiflash_dualflexpress_divfive-p137,0.0,0.27,0.32,0.19,0.12,0.11,0.21,0.13,0.18,0.52,inf,inf,0.84375,1.4210526315789473,1.6842105263157894,2.2500000000000004,2.4545454545454546,2.666666666666667,2.909090909090909,1.2857142857142858,2.076923076923077,2.4615384615384617,1.5000000000000002,1.777777777777778
imgfifo-p057,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.05,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72000.0,72000.0
intel028,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,2658.85,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3539688211068694,1.3539688211068694
6s30,0.1,10.25,11.27,12.81,22.19,14.02,16.71,21.62,0.88,9.16,102.5,112.69999999999999,0.909494232475599,0.8001561280249805,0.8797814207650273,0.4619197836863452,0.7310984308131241,0.5078864353312302,0.8038516405135521,0.6134051466187911,0.47409805735430155,0.5212765957446808,11.647727272727273,12.806818181818182
6s319r,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,2.57,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1400.7782101167315,1400.7782101167315
paper_v3,0.0,0.05,0.05,0.05,0.07,0.04,0.06,0.06,0.01,0.13,inf,inf,1.0,1.0,1.0,0.7142857142857143,1.25,0.7142857142857143,1.25,0.8333333333333334,0.8333333333333334,0.8333333333333334,5.0,5.0
pdtvismiim5,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,,inf,0.0,0.0,1.0,,,inf,inf,,,inf,,inf
cal180,0.0,0.06,0.06,0.08,0.06,0.05,0.06,0.06,0.01,0.07,inf,inf,1.0,0.75,0.75,1.0,1.2,1.0,1.2,1.0,1.0,1.0,6.0,6.0
pdtswvsam6x8p4,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.49,2639.39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2416.1073825503354,2416.1073825503354
6s149,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,5.75,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,626.0869565217391,626.0869565217391
6s364rb03158,0.94,58.75,55.84,79.64,59.02,3.96,55.07,57.3,55.73,29.0,62.5,59.404255319148945,1.0521131805157593,0.7376946258161727,0.7011551983927675,0.9954252795662487,14.835858585858587,0.9461199593358184,14.101010101010102,1.0668240421282005,1.0253054101221641,0.9745200698080281,1.0541898438901849,1.0019738022609008
fastfir-p030,0.09,5.79,6.37,6.45,6.03,8.65,6.33,7.06,0.13,19.6,64.33333333333334,70.77777777777779,0.9089481946624803,0.8976744186046511,0.9875968992248062,0.9601990049751243,0.6693641618497109,1.056384742951907,0.7364161849710983,0.9146919431279621,0.8201133144475922,0.9022662889518415,44.53846153846154,49.0
eijks526,0.0,0.96,1.39,1.7,0.82,6.16,1.45,3.54,0.01,6.46,inf,inf,0.6906474820143885,0.5647058823529412,0.8176470588235294,1.170731707317073,0.15584415584415584,1.6951219512195121,0.22564935064935063,0.6620689655172414,0.2711864406779661,0.3926553672316384,96.0,139.0
6s361rb54373,2.21,36.12,37.76,65.41,35.71,1.39,36.57,43.9,36.75,20.76,16.34389140271493,17.085972850678733,0.9565677966101694,0.5522091423329766,0.5772817611985935,1.0114813777653318,25.985611510791365,1.057406888826659,27.165467625899282,0.9876948318293682,0.8227790432801823,0.8601366742596811,0.9828571428571428,1.0274829931972789
6s45,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.03,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120000.0,120000.0
pdtswvtma6x4p2,0.0,2.14,2.15,2.73,2.52,21.01,3.53,2.5,0.0,3.09,inf,inf,0.9953488372093025,0.783882783882784,0.7875457875457875,0.8492063492063493,0.10185625892432175,0.8531746031746031,0.1023322227510709,0.6062322946175638,0.8560000000000001,0.86,inf,inf
6s274r,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.25,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14400.0,14400.0
qspiflash_dualflexpress_divthree-p084,0.0,8.85,9.62,34.64,147.52,254.83,7.83,22.33,1.74,10.11,inf,inf,0.91995841995842,0.2554849884526559,0.2777136258660508,0.059991865509761384,0.03472903504296982,0.0652114967462039,0.03775065730094573,1.1302681992337165,0.39632781012091356,0.43081056874160323,5.086206896551724,5.528735632183908
qspiflash_dualflexpress_divthree-p086,0.0,0.05,0.05,0.11,0.03,0.02,0.02,0.03,0.02,0.13,inf,inf,1.0,0.4545454545454546,0.4545454545454546,1.6666666666666667,2.5,1.6666666666666667,2.5,2.5,1.6666666666666667,1.6666666666666667,2.5,2.5
zipcpu-busdelay-p45,0.0,0.12,0.15,0.44,0.17,3.31,0.12,0.18,0.01,0.15,inf,inf,0.8,0.2727272727272727,0.3409090909090909,0.7058823529411764,0.036253776435045314,0.8823529411764705,0.045317220543806644,1.0,0.6666666666666666,0.8333333333333334,12.0,15.0
6s205b20,3600.0,114.43,109.35,155.18,110.98,3600.0,704.87,103.88,28.15,16.75,0.03178611111111111,0.030375,1.046456332876086,0.7374017270266787,0.7046655496842376,1.0310866822850964,0.03178611111111111,0.9853126689493602,0.030375,0.1623419921403947,1.1015594917212168,1.0526569118213323,4.065008880994672,3.8845470692717585
a08-p1,0.0,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,inf,inf,2.0,1.0,0.5,2.0,2.0,1.0,1.0,2.0,2.0,1.0,inf,inf
6s205b16,3600.0,192.33,196.06,104.52,98.03,3600.0,78.39,107.01,35.19,57.75,0.053425,0.05446111111111111,0.980975211669897,1.840126291618829,1.8758132414848834,1.961950423339794,0.053425,2.0,0.05446111111111111,2.4535017221584385,1.7973086627417998,1.832165218203906,5.465473145780052,5.571469167377097
pdtvsar8multip00,0.01,0.01,0.02,0.06,0.01,0.01,0.01,0.01,0.01,0.02,1.0,2.0,0.5,0.16666666666666669,0.33333333333333337,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
pdtvisblackjack3,0.01,0.08,0.07,0.13,0.09,0.06,0.09,0.06,0.06,0.04,8.0,7.000000000000001,1.1428571428571428,0.6153846153846154,0.5384615384615385,0.888888888888889,1.3333333333333335,0.7777777777777779,1.1666666666666667,0.888888888888889,1.3333333333333335,1.1666666666666667,1.3333333333333335,1.1666666666666667
6s392r,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,26.66,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,135.0337584396099,135.0337584396099
oski15a14b29s,0.05,37.59,57.06,9.59,17.59,886.99,10.95,31.7,53.27,70.98,751.8000000000001,1141.2,0.6587802313354364,3.9197080291970807,5.9499478623566215,2.1370096645821492,0.04237928274275922,3.243888573052871,0.06432992480185797,3.432876712328768,1.1858044164037855,1.8,0.7056504599211564,1.0711469870471184
oski15a14b07s,0.05,0.14,0.15,0.53,0.14,0.05,0.14,0.15,0.14,0.1,2.8000000000000003,2.9999999999999996,0.9333333333333335,0.2641509433962264,0.2830188679245283,1.0,2.8000000000000003,1.0714285714285714,2.9999999999999996,1.0,0.9333333333333335,1.0,1.0,1.0714285714285714
6s413b299,0.07,0.57,0.59,1.16,0.58,1.41,0.6,0.49,0.08,0.59,8.14285714285714,8.428571428571427,0.9661016949152542,0.49137931034482757,0.5086206896551724,0.9827586206896551,0.40425531914893614,1.0172413793103448,0.41843971631205673,0.95,1.163265306122449,1.2040816326530612,7.124999999999999,7.374999999999999
a01,3600.0,719.43,715.95,1825.24,384.23,436.43,3600.0,373.45,0.01,1062.09,0.19984166666666664,0.19887500000000002,1.0048606746281163,0.39415638491376476,0.392249786329469,1.8723941389272047,1.6484430492862543,1.8633370637378655,1.6404692619664094,0.19984166666666664,1.926442629535413,1.9171241130004018,71943.0,71595.0
cal105,4.52,60.38,92.73,73.61,77.54,46.45,92.97,77.38,91.4,83.78,13.35840707964602,20.51548672566372,0.6511377116359323,0.8202689851922293,1.259747316940633,0.778694867165334,1.29989235737352,1.1958988908950219,1.996340150699677,0.64945681402603,0.7803049883690877,1.1983716722667357,0.6606126914660831,1.014551422319475
6s47,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.1,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36000.0,36000.0
6s403rb0609,0.04,0.68,0.68,1.49,0.68,0.09,0.66,0.67,0.59,1.24,17.0,17.0,1.0,0.45637583892617456,0.45637583892617456,1.0,7.555555555555556,1.0,7.555555555555556,1.0303030303030303,1.0149253731343284,1.0149253731343284,1.152542372881356,1.152542372881356
cal46,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.33333333333333337,,,inf,inf,,,inf,,inf
pdtswvroz10x6p2,0.0,0.59,0.71,0.58,0.98,1.91,0.49,0.98,0.01,1.88,inf,inf,0.8309859154929577,1.0172413793103448,1.2241379310344829,0.6020408163265306,0.3089005235602094,0.7244897959183674,0.3717277486910995,1.2040816326530612,0.6020408163265306,0.7244897959183674,58.99999999999999,71.0
pdtswvqis8x8p0,0.01,0.2,0.17,0.13,0.2,0.33,0.17,0.2,0.02,0.14,20.0,17.0,1.1764705882352942,1.5384615384615385,1.3076923076923077,1.0,0.6060606060606061,0.85,0.5151515151515151,1.1764705882352942,1.0,0.85,10.0,8.5
pdtswvtma6x4p1,0.0,0.76,0.77,0.85,0.66,0.25,0.84,0.66,0.03,0.89,inf,inf,0.987012987012987,0.8941176470588236,0.9058823529411765,1.1515151515151514,3.04,1.1666666666666667,3.08,0.9047619047619048,1.1515151515151514,1.1666666666666667,25.333333333333336,25.666666666666668
neclatcasall001,3600.0,4.99,4.96,6.3,6.41,44.46,3.96,5.98,0.9,7.23,0.0013861111111111112,0.0013777777777777777,1.0060483870967742,0.7920634920634921,0.7873015873015873,0.7784711388455539,0.1122357174988754,0.7737909516380655,0.11156095366621682,1.2601010101010102,0.8344481605351171,0.8294314381270902,5.544444444444444,5.511111111111111
6s28,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.27,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13333.333333333332,13333.333333333332
139464p0,0.31,0.44,0.52,0.7,0.47,0.06,0.46,0.58,0.45,0.77,1.4193548387096775,1.6774193548387097,0.8461538461538461,0.6285714285714287,0.7428571428571429,0.9361702127659575,7.333333333333334,1.1063829787234043,8.666666666666668,0.9565217391304347,0.7586206896551725,0.8965517241379312,0.9777777777777777,1.1555555555555557
shift1add512,0.0,0.05,0.07,0.06,0.06,0.0,0.06,0.06,0.01,0.16,inf,inf,0.7142857142857143,0.8333333333333334,1.1666666666666667,0.8333333333333334,inf,1.1666666666666667,inf,0.8333333333333334,0.8333333333333334,1.1666666666666667,5.0,7.000000000000001
beempgmprot1f2,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,10.64,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,338.3458646616541,338.3458646616541
cal232,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,27.63,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130.29315960912052,130.29315960912052
brp.2.prop1-func-interl,0.0,0.33,0.33,0.14,0.21,0.18,0.32,0.21,0.04,0.86,inf,inf,1.0,2.357142857142857,2.357142857142857,1.5714285714285716,1.8333333333333335,1.5714285714285716,1.8333333333333335,1.03125,1.5714285714285716,1.5714285714285716,8.25,8.25
bobsmvhd3,3600.0,1260.06,3600.0,468.83,417.65,433.64,1808.79,446.98,1017.14,125.69,0.35001666666666664,1.0,0.35001666666666664,2.687669304438709,7.678689503658043,3.017023823775889,2.9057743750576517,8.619657608045014,8.301817175537312,0.6966314497537027,2.8190523065908986,8.05405163541993,1.2388265135576224,3.5393357846510805
vgasim_imgfifo-p070,3600.0,45.21,44.61,29.84,114.61,696.44,57.11,105.36,0.49,58.98,0.012558333333333333,0.012391666666666667,1.0134498991257566,1.5150804289544235,1.4949731903485255,0.3944681964924527,0.06491585779105163,0.3892330512171713,0.06405433346734822,0.7916301873577307,0.42910022779043283,0.4234054669703872,92.26530612244898,91.04081632653062
nusmvsyncarb5p2,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,inf,0.0,,inf,,,inf,inf,,,inf,,inf
fastfir-p016,0.08,2.91,2.63,2.94,2.59,2.99,3.24,3.4,0.25,3.72,36.375,32.875,1.1064638783269962,0.989795918367347,0.8945578231292517,1.1235521235521237,0.9732441471571907,1.0154440154440154,0.8795986622073577,0.8981481481481481,0.8558823529411765,0.7735294117647059,11.64,10.52
pdtswvtma6x4p3,0.0,29.26,29.19,18.36,20.58,340.35,26.0,20.53,0.0,19.59,inf,inf,1.0023980815347722,1.593681917211329,1.5898692810457518,1.4217687074829934,0.08597032466578522,1.4183673469387756,0.08576465403261349,1.1253846153846154,1.4252313687286897,1.4218217243058937,inf,inf
pdtvisblackjack1,0.01,0.04,0.04,0.06,0.04,0.06,0.05,0.06,0.01,0.06,4.0,4.0,1.0,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,1.0,0.6666666666666667,0.7999999999999999,0.6666666666666667,0.6666666666666667,4.0,4.0
vis_arrays_two_p1,0.0,0.13,0.13,0.08,5.44,0.12,0.18,5.42,0.0,0.36,inf,inf,1.0,1.625,1.625,0.02389705882352941,1.0833333333333335,0.02389705882352941,1.0833333333333335,0.7222222222222223,0.023985239852398525,0.023985239852398525,inf,inf
139452p5neg,0.06,0.25,0.29,0.3,0.21,2.4,0.21,0.23,0.25,0.26,4.166666666666667,4.833333333333333,0.8620689655172414,0.8333333333333334,0.9666666666666667,1.1904761904761905,0.10416666666666667,1.380952380952381,0.12083333333333333,1.1904761904761905,1.0869565217391304,1.2608695652173911,1.0,1.16
cal134,0.31,9.41,11.12,12.3,10.91,6.86,11.72,12.39,3.83,13.59,30.35483870967742,35.87096774193548,0.8462230215827339,0.765040650406504,0.9040650406504064,0.8625114573785518,1.3717201166180757,1.0192483959670027,1.6209912536443147,0.802901023890785,0.7594834543987086,0.8974979822437449,2.4569190600522193,2.9033942558746735
qspiflash_dualflexpress_divthree-p034,0.01,46.37,24.3,14.13,30.38,16.36,70.07,10.48,0.55,9.48,4637.0,2430.0,1.908230452674897,3.281670205237084,1.7197452229299364,1.5263331138907175,2.8343520782396086,0.7998683344305465,1.4853300733496333,0.6617668046239475,4.424618320610686,2.318702290076336,84.3090909090909,44.18181818181818
6s34,0.01,33.6,17.28,102.76,22.07,13.78,15.04,6.2,3.72,10.19,3360.0,1728.0,1.9444444444444444,0.32697547683923706,0.16815881666017907,1.5224286361576802,2.4383164005805518,0.7829632985953784,1.253991291727141,2.2340425531914896,5.419354838709678,2.7870967741935484,9.032258064516128,4.645161290322581
pdtswvtma6x6p3,0.0,780.94,633.0,610.48,586.73,642.33,666.24,657.53,0.01,2185.18,inf,inf,1.2337124802527648,1.2792229065653258,1.0368890053728212,1.3310040393366627,1.2157925054099918,1.0788608047994819,0.9854747559665592,1.1721601825168109,1.1876872538135144,0.9626937173969249,78094.0,63300.0
qspiflash_dualflexpress_divthree-p134,0.01,19.94,14.84,30.25,85.9,31.29,11.82,8.46,3.68,7.49,1994.0,1484.0,1.3436657681940702,0.6591735537190083,0.4905785123966942,0.2321303841676368,0.637264301693832,0.17275902211874272,0.4742729306487696,1.6869712351945856,2.3569739952718676,1.7541371158392434,5.418478260869565,4.032608695652174
6s306rb03,0.03,0.99,1.09,1.51,0.86,2.03,0.91,0.92,0.51,0.86,33.0,36.333333333333336,0.9082568807339448,0.6556291390728477,0.7218543046357616,1.1511627906976745,0.4876847290640394,1.2674418604651163,0.5369458128078819,1.0879120879120878,1.076086956521739,1.184782608695652,1.9411764705882353,2.1372549019607843
gen40,0.01,0.0,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.16666666666666669,,,inf,inf,,,inf,,inf
arbitrated_top_n3_w16_d32_e0,3600.0,701.64,699.46,129.41,172.81,110.73,297.88,171.11,367.09,340.8,0.1949,0.19429444444444446,1.0031166900180137,5.421837570512325,5.404991886252994,4.060181702447775,6.336494175020319,4.047566691742376,6.316806646798519,2.3554451456962533,4.100520133247618,4.087779790777862,1.911356887956632,1.9054182897926941
oski15a01b57s,0.52,0.91,1.05,4.0,0.94,0.53,0.93,0.96,0.93,0.91,1.75,2.019230769230769,0.8666666666666667,0.2275,0.2625,0.9680851063829788,1.7169811320754718,1.1170212765957448,1.9811320754716981,0.978494623655914,0.9479166666666667,1.09375,0.978494623655914,1.129032258064516
